TRID,DCR,POD,IADC,CC,FICO,eMentor,PSB,Reattempts,Concessions,LoR
A1B2C3D4E5,99.4%,99.2%,94,98.8%,850,910,100%,100%,0,0
F6G7H8I9J0,98.9%,97.4%,89,96.5%,820,850,97%,96%,1,1
K1L2M3N4O5,99.7%,99.6%,96,99.0%,890,940,100%,100%,0,0
P6Q7R8S9T0,96.8%,94.8%,74,92.0%,760,790,88%,82%,3,4
U1V2W3X4Y5,99.1%,98.7%,92,97.4%,845,900,99%,100%,0,0
Z6A7B8C9D0,98.2%,96.9%,85,95.4%,805,830,96%,93%,2,2
E1F2G3H4I5,99.5%,99.1%,95,98.5%,875,920,100%,100%,0,0
J6K7L8M9N0,97.6%,95.8%,79,93.7%,780,805,91%,87%,2,3
O1P2Q3R4S5,99.0%,98.5%,90,97.1%,835,875,98%,99%,0,1
T6U7V8W9X0,99.8%,99.7%,97,99.2%,900,955,100%,100%,0,0
Y1Z2A3B4C5,98.6%,97.9%,87,96.2%,815,845,96%,95%,1,1
D6E7F8G9H0,95.9%,93.6%,70,90.8%,735,765,84%,79%,4,5
